ID,Layer,Feature,User Story,Expected Behavior (from code),Status,Result,Notes
U05,VSCode UI,viewsWelcome guidance,"As a human with no docs, I see guidance + an Open button.","viewsWelcome shown when the view has no items.",Tested,PASS,"NOTE: getChildren always prepends OPEN_ITEM, so welcome only shows when no folder is open. Missing-docs case handled by an informative error toast on Open. Acceptable; not a fix."
U06,VSCode UI,Refresh command/button,"As a human, I refresh to re-scan pages and reload the pane.","refresh => tree refresh + (if started) engine.reload + pane.reload.",Tested,PASS,Reload verified live; refresh wiring OK.
U07,VSCode UI,Single in-place pane (bug fix),"As a human, navigations reuse ONE pane tab, no new tab each time.","createWebviewPanel once; later shows reveal + postMessage navigate.",Re-tested,PASS,"Core fix holds: pane_state shows one panel across many navs. B3 FIXED + live-verified: single 'loaded' event on first open (was two)."
U08,VSCode UI,Focus preserved,"As a human, opening docs doesn't steal focus from editor/terminal.","preserveFocus:true on create + reveal.",Tested,PASS,Wiring correct; confirmed prior session.
U09,VSCode UI,Selectable real DOM,"As a human, I can select and copy text in the docs pane.","localhost iframe of real served HTML (allow-same-origin).",Tested,PASS,"Architecture verified; screenshots show real rendered DOM."
C01,Config,docsBrowser.docsDir,"As a user, I point the extension at my generated docs directory.","Default 'docs'; relative->workspace; absolute respected; missing => error toast.",Tested,PASS,"Live serving docs/. Missing-dir guard verified by code (fs.existsSync)."
C02,Config,docsBrowser.mcpPort,"As a user, I set the MCP port that .mcp.json references.","Default 8765; strictPort: EADDRINUSE => error toast, degraded.",Tested,PASS,"strictPort proven by mcp.mjs (2nd listen rejects). Live MCP on 8765."
I01,Infra,Docs static server,"The docs server serves files with correct MIME and no-cache.","extension->MIME; dir->index.html; cache-control no-cache.",Tested,PASS,"Live: /index.html 200 text/html; docs.mjs green."
I02,Infra,Path-traversal guard,"The docs server refuses paths outside docsDir.","resolved path must be root or under root+sep else 403; bad encoding 400; missing 404.",Tested,PASS,"Raw socket test: full %2f-encoded ../ => 403; half-encoded => normalized to inside-root => 404. No escape."
I03,Infra,Stateless MCP transport,"The MCP server survives VSCode reloads (no stale sessions).","Fresh McpServer+transport per request; teardown on res close.",Tested,PASS,"mcp.mjs green; survived prior VSCode reload."
I04,Infra,MCP routing/errors,"The MCP endpoint handles only /mcp and valid methods.","non-/mcp 404; bad method 405; invalid JSON -32700; internal -32603.",Tested,PASS,"Live curls: /foo 404, PUT 405, bad-json 400/-32700."
I05,Infra,Self-healing sidecar,"If Chromium/sidecar crashes, tools recover without reloading VSCode.","makeEngine re-spawns child on exit; next tool call relaunches.",Tested,PASS,"Live: killed process group 57479; next call re-spawned (PID 58687), home re-loads."
I06,Infra,Sidecar teardown (no orphans),"Closing VSCode doesn't leave orphan Chromium/node.","deactivate => dispose graceful shutdown + conditional POSIX group-kill.",Tested,PASS,"Group-kill semantics demonstrated (kill -9 -pgid took Chromium children). deactivate path by code."
I07,Infra,Diagnostics buffers scoped to page,"Console/network reflect only the current page.","Ring buffers cap 200; cleared each goto/back/forward/reload + new page.",Tested,PASS,"Observed: clean on good pages; only current 404 surfaced after nav."
I08,Infra,Early activation + MCP bind,"MCP is listening before Claude Code connects.","onStartupFinished; ensureStarted binds MCP port during activation.",Tested,PASS,"Wiring OK; tools connected this session."
I09,Infra,Startup guards,"Friendly errors when no folder / docs dir missing.","No workspace => toast; missing dir => toast; partial failure closes docsServer.",Tested,PASS,Code-verified guards + cleanup.
B1,BUG (High),click selector strict-mode multi-match,"As an AI, clicking a[href] that appears twice should click the first match, not error.","DONE: sidecar/main.ts uses locator(selector).first().click(), matching the text path.",Fixed,FIXED,"Verified LIVE (a[href*=strings], 2 matches -> navigated to strings.html) + automated integration regression. sidecar-side fix, active immediately on sidecar respawn."
B2,BUG (Medium),nav tools report success on non-2xx,"As an AI testing docs, a navigation to a 404/500 page should be flagged, not reported as a plain success.","DONE: sidecar captures response.status() on goto/back/forward/reload; threaded through SidecarResponse + NavResult; tools.ts appends '(HTTP <status>)' when >=400.",Fixed,FIXED,"Verified LIVE on reloaded host (navigate + reload to 404 => '(HTTP 404)'; healthy 200 page stays clean) + automated integration regression."
B3,BUG (Low),pane double-loads iframe on first open,"As a human, opening a page should load the iframe once, not twice (avoid flash/perf).","DONE: webview script skips re-setting f.src when navigate url equals currentUrl (first show no longer re-sets the same src).",Fixed,FIXED,"Verified LIVE on reloaded host (pane_state shows a single 'loaded' event on first open, was two) + pane.mjs build."
